,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 3]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 4]","[0, 3, 5]","[0, 3, 6]","[0, 3, 7]","[0, 4, 5]","[0, 4, 6]","[0, 4, 7]","[0, 4, 8]","[0, 5, 6]"
Op. 16 v,0.0,2.0689655172413794,0.0,0.0,0.0,2.0689655172413794,0.0,18.620689655172416,8.275862068965518,8.275862068965518,4.137931034482759,13.793103448275861,10.344827586206897,0.6896551724137931,0.0,1.3793103448275863,0.0,7.586206896551724,0.0,4.137931034482759,1.3793103448275863,5.517241379310345,0.6896551724137931,0.6896551724137931,0.0,10.344827586206897
Op. 17 i,10.882352941176471,30.0,2.0588235294117645,2.6470588235294117,6.470588235294119,7.0588235294117645,4.117647058823529,7.647058823529412,1.7647058823529411,5.294117647058823,3.5294117647058822,1.4705882352941175,3.2352941176470593,0.0,0.0,0.5882352941176471,0.29411764705882354,5.294117647058823,0.0,0.29411764705882354,0.5882352941176471,2.6470588235294117,0.0,0.29411764705882354,0.5882352941176471,3.2352941176470593
Op. 17 ii,13.445378151260504,5.46218487394958,0.0,4.201680672268908,0.42016806722689076,0.42016806722689076,0.0,8.403361344537815,5.46218487394958,8.823529411764707,5.042016806722689,8.823529411764707,7.142857142857142,0.42016806722689076,1.2605042016806722,0.0,0.42016806722689076,5.042016806722689,2.5210084033613445,4.621848739495799,0.8403361344537815,4.621848739495799,1.2605042016806722,0.8403361344537815,0.42016806722689076,10.084033613445378
Op. 17 iii,15.833333333333332,17.916666666666668,1.25,5.833333333333333,6.25,2.083333333333333,1.6666666666666667,12.083333333333334,1.6666666666666667,7.916666666666666,2.5,5.833333333333333,1.6666666666666667,0.0,0.0,0.4166666666666667,0.0,9.583333333333334,0.0,0.8333333333333334,0.0,2.9166666666666665,0.4166666666666667,0.4166666666666667,0.0,2.9166666666666665
Op. 18 i,1.6286644951140066,5.211726384364821,3.257328990228013,1.6286644951140066,3.257328990228013,2.2801302931596092,0.32573289902280134,5.537459283387622,6.514657980456026,6.514657980456026,4.88599348534202,4.88599348534202,5.537459283387622,5.211726384364821,2.6058631921824107,3.257328990228013,2.2801302931596092,10.423452768729643,2.9315960912052117,2.6058631921824107,4.234527687296417,4.88599348534202,1.9543973941368076,3.257328990228013,1.6286644951140066,3.257328990228013
Op. 18 ii,0.45558086560364464,4.100227790432802,2.050113895216401,1.8223234624145785,1.5945330296127564,3.8724373576309796,0.683371298405467,7.744874715261959,4.783599088838269,8.428246013667426,5.239179954441914,5.922551252847381,4.783599088838269,3.644646924829157,4.100227790432802,2.5056947608200453,3.644646924829157,5.239179954441914,3.644646924829157,2.733485193621868,1.8223234624145785,6.378132118451026,3.644646924829157,2.9612756264236904,0.683371298405467,7.517084282460136
Op. 18 iii,3.1578947368421053,10.73684210526316,1.6842105263157894,3.7894736842105265,5.473684210526316,0.631578947368421,0.631578947368421,8.631578947368421,2.526315789473684,12.842105263157894,3.578947368421052,3.578947368421052,3.3684210526315788,3.3684210526315788,1.0526315789473684,1.263157894736842,0.21052631578947367,13.473684210526315,2.526315789473684,0.631578947368421,3.1578947368421053,2.736842105263158,1.4736842105263157,2.3157894736842106,3.3684210526315788,3.7894736842105265
Op. 19 i,10.304449648711945,12.295081967213115,5.269320843091335,9.367681498829041,9.484777517564403,6.0889929742388755,3.51288056206089,2.810304449648712,2.576112412177986,3.0444964871194378,3.278688524590164,2.107728337236534,4.098360655737705,1.756440281030445,2.107728337236534,1.1709601873536302,1.639344262295082,3.51288056206089,1.5222482435597189,3.0444964871194378,1.288056206088993,2.3419203747072603,2.224824355971897,2.107728337236534,0.936768149882904,2.107728337236534
Op. 19 ii,15.35982814178303,13.64124597207304,6.7669172932330826,8.700322234156822,10.204081632653061,5.155746509129968,4.081632653061225,2.685284640171858,1.1815252416756177,2.577873254564984,2.7926960257787328,1.3963480128893664,3.4371643394199785,1.8259935553168638,1.933404940923738,1.3963480128893664,1.1815252416756177,3.22234156820623,1.7185821697099892,1.8259935553168638,0.8592910848549946,1.933404940923738,2.0408163265306123,1.0741138560687433,0.644468313641246,2.3630504833512354
Op. 2,2.5878003696857674,11.275415896487985,8.133086876155268,4.251386321626617,1.8484288354898337,1.1090573012939002,1.1090573012939002,13.123844731977819,12.014787430683919,6.469500924214418,6.654343807763401,2.4029574861367835,6.839186691312385,4.805914972273567,1.2939001848428837,1.6635859519408502,3.1423290203327174,2.033271719038817,3.3271719038817005,0.7393715341959335,0.36968576709796674,3.8817005545286505,0.18484288354898337,0.5545286506469501,0.18484288354898337,0.0
Op. 20 i,0.5859375,22.4609375,1.5625,2.9296875,6.25,5.078125,1.3671875,12.6953125,2.734375,4.8828125,7.421875,4.4921875,4.1015625,0.1953125,0.1953125,0.5859375,0.0,8.203125,1.171875,0.1953125,0.9765625,5.6640625,0.9765625,0.9765625,0.5859375,3.7109375
Op. 20 ii,2.768903088391906,10.86261980830671,1.5974440894568689,0.42598509052183176,1.0649627263045793,1.2779552715654952,1.0649627263045793,11.821086261980831,3.407880724174654,8.945686900958465,8.30670926517572,9.052183173588926,3.62087326943557,0.5324813631522897,1.0649627263045793,1.5974440894568689,0.5324813631522897,10.33013844515442,0.9584664536741214,1.1714589989350372,0.8519701810436635,7.348242811501597,1.1714589989350372,1.2779552715654952,0.0,8.945686900958465
Op. 21 i,0.0,8.75,0.0,5.0,0.0,0.0,0.0,20.0,8.75,13.750000000000002,0.0,7.5,12.5,0.0,0.0,0.0,0.0,13.750000000000002,0.0,0.0,0.0,1.25,0.0,0.0,0.0,8.75
Op. 21 ii,62.34234234234234,8.468468468468467,0.36036036036036034,3.2432432432432434,1.6216216216216217,0.9009009009009009,0.36036036036036034,2.8828828828828827,1.8018018018018018,3.6036036036036037,1.0810810810810811,2.5225225225225225,1.2612612612612613,0.18018018018018017,0.36036036036036034,0.18018018018018017,0.0,4.504504504504505,0.36036036036036034,0.18018018018018017,0.18018018018018017,0.5405405405405406,0.18018018018018017,0.18018018018018017,0.0,2.7027027027027026
Op. 22 i,0.0,4.968944099378882,0.0,0.0,0.0,0.0,2.484472049689441,22.36024844720497,2.484472049689441,16.149068322981368,2.484472049689441,14.906832298136646,2.484472049689441,0.0,0.0,1.2422360248447204,0.0,15.527950310559005,0.0,0.0,0.0,2.484472049689441,1.2422360248447204,0.6211180124223602,0.6211180124223602,9.937888198757763
Op. 22 ii,0.36363636363636365,4.363636363636364,0.0,1.8181818181818181,1.4545454545454546,1.8181818181818181,0.36363636363636365,14.181818181818182,10.909090909090908,9.454545454545455,2.909090909090909,6.909090909090909,12.727272727272727,1.090909090909091,0.7272727272727273,2.909090909090909,1.4545454545454546,9.090909090909092,0.0,1.4545454545454546,0.7272727272727273,5.454545454545454,3.272727272727273,0.36363636363636365,0.0,6.181818181818182
Op. 23 i,0.4434589800443459,1.5521064301552108,1.1086474501108647,2.882483370288248,3.1042128603104215,1.3303769401330376,0.4434589800443459,4.878048780487805,6.651884700665188,10.643015521064301,7.5388026607538805,2.882483370288248,4.434589800443459,3.1042128603104215,3.1042128603104215,4.212860310421286,0.8869179600886918,10.643015521064301,2.4390243902439024,5.321507760532151,3.1042128603104215,5.986696230598669,3.5476718403547673,2.4390243902439024,4.434589800443459,2.882483370288248
Op. 23 ii,0.0,0.966183574879227,0.966183574879227,2.898550724637681,2.4154589371980677,2.4154589371980677,0.4830917874396135,4.3478260869565215,7.246376811594203,11.11111111111111,6.280193236714976,1.932367149758454,5.797101449275362,3.3816425120772946,2.4154589371980677,1.932367149758454,2.4154589371980677,13.043478260869565,5.797101449275362,4.830917874396135,4.830917874396135,4.3478260869565215,2.898550724637681,1.932367149758454,4.3478260869565215,0.966183574879227
Op. 23 iii,0.0,0.7194244604316548,1.1990407673860912,1.1990407673860912,2.3980815347721824,0.2398081534772182,0.0,3.357314148681055,5.755395683453238,11.270983213429256,6.71462829736211,3.8369304556354913,4.796163069544365,2.877697841726619,1.9184652278177456,5.755395683453238,1.9184652278177456,11.031175059952037,2.6378896882494005,5.275779376498801,2.3980815347721824,7.673860911270983,5.0359712230215825,2.877697841726619,5.995203836930456,3.117505995203837
Op. 24 i,0.0,0.45662100456621,0.45662100456621,0.0,0.0,0.0,0.45662100456621,5.0228310502283104,1.36986301369863,25.11415525114155,6.8493150684931505,1.36986301369863,1.82648401826484,4.5662100456621,0.0,4.5662100456621,0.0,22.37442922374429,0.45662100456621,0.0,2.73972602739726,6.8493150684931505,4.10958904109589,3.1963470319634704,6.392694063926941,1.82648401826484
Op. 24 ii,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,4.545454545454546,11.363636363636363,11.363636363636363,0.0,9.090909090909092,11.363636363636363,2.272727272727273,2.272727272727273,0.0,6.8181818181818175,0.0,2.272727272727273,0.0,4.545454545454546,0.0,0.0,27.27272727272727,2.272727272727273
Op. 24 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.097560975609756,1.2195121951219512,19.51219512195122,6.097560975609756,4.878048780487805,1.2195121951219512,2.4390243902439024,0.0,9.75609756097561,0.0,26.82926829268293,0.0,0.0,0.0,3.6585365853658534,9.75609756097561,0.0,4.878048780487805,3.6585365853658534
Op. 25 i,0.0,3.4782608695652173,0.0,2.608695652173913,0.0,0.8695652173913043,0.0,12.173913043478262,10.434782608695652,18.26086956521739,3.4782608695652173,1.7391304347826086,6.956521739130435,0.8695652173913043,3.4782608695652173,1.7391304347826086,0.8695652173913043,18.26086956521739,0.0,6.956521739130435,1.7391304347826086,4.3478260869565215,0.0,0.8695652173913043,0.0,0.8695652173913043
Op. 25 ii,0.0,7.333333333333333,1.3333333333333335,4.666666666666667,2.0,1.3333333333333335,0.6666666666666667,8.0,6.0,12.666666666666668,2.666666666666667,0.0,9.333333333333334,2.666666666666667,5.333333333333334,1.3333333333333335,0.0,9.333333333333334,4.666666666666667,8.0,2.0,6.0,2.666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667
Op. 25 iii,0.0,5.454545454545454,0.0,1.8181818181818181,0.0,0.0,0.0,18.181818181818183,9.090909090909092,14.545454545454545,7.2727272727272725,3.6363636363636362,7.2727272727272725,0.0,0.0,0.0,0.0,12.727272727272727,7.2727272727272725,7.2727272727272725,1.8181818181818181,0.0,0.0,3.6363636363636362,0.0,0.0
Op. 26,0.7246376811594203,7.729468599033816,0.7246376811594203,3.140096618357488,3.864734299516908,0.0,0.0,8.212560386473431,12.318840579710146,16.908212560386474,8.212560386473431,0.0,11.11111111111111,1.2077294685990339,0.0,0.0,0.0,18.115942028985508,0.24154589371980675,0.4830917874396135,0.24154589371980675,6.280193236714976,0.0,0.24154589371980675,0.0,0.24154589371980675
Op. 27 i,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,3.3333333333333335,15.555555555555555,2.2222222222222223,7.777777777777778,2.2222222222222223,6.666666666666667,5.555555555555555,10.0,0.0,1.1111111111111112,0.0,11.11111111111111,3.3333333333333335,1.1111111111111112,3.3333333333333335,10.0,4.444444444444445,2.2222222222222223,3.3333333333333335,3.3333333333333335
Op. 27 ii,0.0,9.375,3.125,0.0,10.9375,0.0,0.0,12.5,3.125,3.125,3.125,3.125,3.125,3.125,6.25,3.125,3.125,3.125,0.0,3.125,0.0,4.6875,9.375,6.25,0.0,6.25
Op. 27 iii,0.0,3.361344537815126,0.8403361344537815,2.5210084033613445,1.680672268907563,3.361344537815126,0.0,7.563025210084033,10.084033613445378,9.243697478991598,10.92436974789916,1.680672268907563,8.403361344537815,4.201680672268908,0.8403361344537815,0.0,5.88235294117647,8.403361344537815,1.680672268907563,0.0,1.680672268907563,5.88235294117647,5.042016806722689,3.361344537815126,0.0,3.361344537815126
Op. 28 i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.358974358974358,5.128205128205128,12.82051282051282,0.0,29.48717948717949,0.0,1.282051282051282,0.0,0.0,11.538461538461538,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0
Op. 28 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.862385321100916,5.5045871559633035,9.174311926605505,0.0,34.862385321100916,0.0,0.0,0.0,0.0,6.422018348623854,0.0,0.0,0.0,9.174311926605505,0.0,0.0,0.0,0.0
Op. 28 iii,0.0,18.6046511627907,0.0,10.852713178294573,0.0,0.0,0.0,0.0,29.457364341085274,0.0,4.651162790697675,0.0,31.007751937984494,0.0,0.0,0.0,0.0,1.550387596899225,0.0,0.7751937984496124,0.0,3.10077519379845,0.0,0.0,0.0,0.0
Op. 29 i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.253012048192772,36.144578313253014,0.0,0.0,13.253012048192772,0.0,0.0,0.0,0.0,34.93975903614458,0.0,0.0,0.0,0.0,0.0,0.0,2.4096385542168677,0.0
Op. 29 ii,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,26.31578947368421,24.210526315789473,0.0,0.0,25.263157894736842,0.0,0.0,0.0,0.0,21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Op. 29 iii,0.0,7.450980392156863,0.0,3.9215686274509802,1.9607843137254901,0.0,0.0,0.39215686274509803,16.470588235294116,25.49019607843137,0.0,0.0,16.470588235294116,0.39215686274509803,1.1764705882352942,0.0,0.0,25.098039215686274,0.7843137254901961,0.39215686274509803,0.0,0.0,0.0,0.0,0.0,0.0
Op. 3 i,0.0,6.870229007633588,4.580152671755725,3.0534351145038165,1.5267175572519083,2.2900763358778624,0.7633587786259541,18.3206106870229,6.870229007633588,8.396946564885496,6.870229007633588,3.816793893129771,3.0534351145038165,1.5267175572519083,7.633587786259542,3.0534351145038165,0.7633587786259541,6.870229007633588,0.0,3.816793893129771,0.7633587786259541,1.5267175572519083,2.2900763358778624,0.0,0.0,5.343511450381679
Op. 3 ii,0.0,3.755868544600939,2.8169014084507045,1.4084507042253522,1.8779342723004695,2.8169014084507045,0.9389671361502347,12.676056338028168,6.572769953051644,0.9389671361502347,6.103286384976526,7.981220657276995,1.8779342723004695,3.286384976525822,1.4084507042253522,6.103286384976526,3.755868544600939,1.4084507042253522,7.511737089201878,0.9389671361502347,3.755868544600939,2.3474178403755865,4.225352112676056,1.8779342723004695,0.4694835680751174,13.145539906103288
Op. 3 iii,0.0,14.285714285714285,12.244897959183673,2.0408163265306123,3.4013605442176873,1.3605442176870748,0.0,12.244897959183673,4.081632653061225,6.122448979591836,5.442176870748299,6.122448979591836,2.7210884353741496,2.0408163265306123,2.7210884353741496,2.0408163265306123,1.3605442176870748,2.0408163265306123,0.6802721088435374,0.6802721088435374,2.7210884353741496,3.4013605442176873,6.802721088435375,0.0,1.3605442176870748,4.081632653061225
Op. 3 iv,0.0,7.9787234042553195,5.851063829787234,3.1914893617021276,2.6595744680851063,2.127659574468085,1.5957446808510638,10.106382978723403,3.1914893617021276,4.25531914893617,8.51063829787234,4.25531914893617,5.851063829787234,2.127659574468085,2.6595744680851063,4.787234042553192,0.5319148936170213,4.787234042553192,2.127659574468085,4.787234042553192,5.851063829787234,5.851063829787234,2.127659574468085,1.0638297872340425,1.5957446808510638,2.127659574468085
Op. 3 v,1.6877637130801686,19.831223628691983,1.2658227848101267,0.0,3.375527426160337,0.8438818565400843,0.8438818565400843,8.860759493670885,4.219409282700422,5.485232067510549,7.172995780590717,6.329113924050633,3.79746835443038,1.2658227848101267,0.8438818565400843,4.219409282700422,0.42194092827004215,5.9071729957805905,2.109704641350211,2.9535864978902953,0.42194092827004215,8.016877637130802,2.5316455696202533,1.2658227848101267,2.109704641350211,4.219409282700422
Op. 30,10.152284263959391,0.5076142131979695,0.0,0.0,0.0,0.0,0.0,0.5076142131979695,13.19796954314721,32.48730964467005,0.0,0.0,14.213197969543149,0.0,0.0,0.0,0.0,27.918781725888326,0.0,0.0,0.0,0.5076142131979695,0.0,0.0,0.0,0.5076142131979695
Op. 31 i,0.0,0.0,0.0,0.0,2.4691358024691357,0.0,0.0,11.11111111111111,0.0,27.160493827160494,8.641975308641975,4.938271604938271,0.0,1.2345679012345678,0.0,0.0,0.0,25.925925925925924,0.0,0.0,0.0,12.345679012345679,0.0,0.0,6.172839506172839,0.0
Op. 31 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.705882352941178,0.0,18.627450980392158,8.823529411764707,0.0,1.9607843137254901,0.0,0.0,0.9803921568627451,0.0,28.431372549019606,0.0,0.0,0.9803921568627451,14.705882352941178,0.0,1.9607843137254901,8.823529411764707,0.0
Op. 31 iii,0.0,0.0,0.0,0.2597402597402597,0.2597402597402597,0.0,0.0,15.064935064935064,0.0,19.22077922077922,14.805194805194805,0.2597402597402597,0.0,0.0,0.0,0.5194805194805194,0.0,21.558441558441558,0.0,0.2597402597402597,0.5194805194805194,13.506493506493506,0.0,0.2597402597402597,13.246753246753245,0.2597402597402597
Op. 31 iv,0.0,7.4074074074074066,0.0,0.0,0.0,0.0,0.0,14.814814814814813,0.0,18.51851851851852,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,14.814814814814813,0.0,0.0,0.0,14.814814814814813,0.0,0.0,7.4074074074074066,0.0
