Duration,[0],[0 1],[0 2],[0 3],[0 4],[0 5],[0 6],[0 1 2],[0 1 3],[0 1 4],[0 1 5],[0 1 6],[0 2 4],[0 2 5],[0 2 6],[0 2 7],[0 3 6],[0 3 7],[0 4 8],[0 1 2 3],[0 1 2 4],[0 1 2 5],[0 1 2 6],[0 1 2 7],[0 1 3 4],[0 1 3 5],[0 1 3 6],[0 1 3 7],[0 1 4 5],[0 1 4 6],[0 1 4 7],[0 1 4 8],[0 1 5 6],[0 1 5 7],[0 1 5 8],[0 1 6 7],[0 2 3 5],[0 2 3 6],[0 2 3 7],[0 2 4 6],[0 2 4 7],[0 2 4 8],[0 2 5 7],[0 2 5 8],[0 2 6 8],[0 3 4 7],[0 3 5 8],[0 3 6 9],[0 1 2 3 4],[0 1 2 3 5],[0 1 2 3 6],[0 1 2 3 7],[0 1 2 4 5],[0 1 2 4 6],[0 1 2 4 7],[0 1 2 4 8],[0 1 2 5 6],[0 1 2 5 7],[0 1 2 5 8],[0 1 2 6 7],[0 1 2 6 8],[0 1 3 4 6],[0 1 3 4 7],[0 1 3 4 8],[0 1 3 5 6],[0 1 3 5 7],[0 1 3 5 8],[0 1 3 6 7],[0 1 3 6 8],[0 1 3 6 9],[0 1 3 7 8],[0 1 4 5 7],[0 1 4 5 8],[0 1 4 6 8],[0 1 4 6 9],[0 1 4 7 8],[0 2 3 4 6],[0 2 3 4 7],[0 2 3 5 7],[0 2 3 5 8],[0 2 3 6 8],[0 2 4 5 8],[0 2 4 6 8],[0 2 4 6 9],[0 2 4 7 9],[0 3 4 5 8],[0 1 2 3 4 5],[0 1 2 3 4 6],[0 1 2 3 4 7],[0 1 2 3 4 8],[0 1 2 3 5 6],[0 1 2 3 5 7],[0 1 2 3 5 8],[0 1 2 3 6 7],[0 1 2 3 6 8],[0 1 2 3 6 9],[0 1 2 3 7 8],[0 1 2 4 5 6],[0 1 2 4 5 7],[0 1 2 4 5 8],[0 1 2 4 6 7],[0 1 2 4 6 8],[0 1 2 4 6 9],[0 1 2 4 7 8],[0 1 2 4 7 9],[0 1 2 5 6 7],[0 1 2 5 6 8],[0 1 2 5 6 9],[0 1 2 5 7 8],[0 1 2 5 7 9],[0 1 2 6 7 8],[0 1 3 4 5 7],[0 1 3 4 5 8],[0 1 3 4 6 7],[0 1 3 4 6 8],[0 1 3 4 6 9],[0 1 3 4 7 8],[0 1 3 4 7 9],[0 1 3 5 6 8],[0 1 3 5 6 9],[0 1 3 5 7 8],[0 1 3 5 7 9],[0 1 3 5 8 9],[0 1 3 6 7 9],[0 1 3 6 8 9],[0 1 4 5 6 8],[0 1 4 5 8 9],[0 1 4 6 7 9],[0 2 3 4 5 7],[0 2 3 4 5 8],[0 2 3 4 6 8],[0 2 3 4 6 9],[0 2 3 5 6 8],[0 2 3 5 7 9],[0 2 4 5 7 9],[0 2 4 6 8 10],[0 1 2 3 4 5 6],[0 1 2 3 4 5 7],[0 1 2 3 4 5 8],[0 1 2 3 4 6 7],[0 1 2 3 4 6 8],[0 1 2 3 4 6 9],[0 1 2 3 4 7 8],[0 1 2 3 4 7 9],[0 1 2 3 5 6 7],[0 1 2 3 5 6 8],[0 1 2 3 5 6 9],[0 1 2 3 5 7 8],[0 1 2 3 5 7 9],[0 1 2 3 5 8 9],[0 1 2 3 6 7 8],[0 1 2 3 6 7 9],[0 1 2 4 5 6 8],[0 1 2 4 5 6 9],[0 1 2 4 5 7 8],[0 1 2 4 5 7 9],[0 1 2 4 5 8 9],[0 1 2 4 6 7 8],[0 1 2 4 6 7 9],[0 1 2 4 6 8 9],[0 1 2 4 6 8 10],[0 1 2 4 7 8 9],[0 1 2 5 6 8 9],[0 1 3 4 5 6 8],[0 1 3 4 5 7 8],[0 1 3 4 5 7 9],[0 1 3 4 6 7 9],[0 1 3 4 6 8 9],[0 1 3 4 6 8 10],[0 1 3 5 6 7 9],[0 1 3 5 6 8 10],[0 2 3 4 5 6 8],[0 2 3 4 5 7 9],[0 2 3 4 6 7 9],[0 1 2 3 4 5 6 7],[0 1 2 3 4 5 6 8],[0 1 2 3 4 5 6 9],[0 1 2 3 4 5 7 8],[0 1 2 3 4 5 7 9],[0 1 2 3 4 5 8 9],[0 1 2 3 4 6 7 8],[0 1 2 3 4 6 7 9],[0 1 2 3 4 6 8 9],[0 1 2 3 4 6 8 10],[0 1 2 3 4 7 8 9],[0 1 2 3 5 6 7 8],[0 1 2 3 5 6 7 9],[0 1 2 3 5 6 8 9],[0 1 2 3 5 6 8 10],[0 1 2 3 5 7 8 9],[0 1 2 3 5 7 8 10],[0 1 2 3 6 7 8 9],[0 1 2 4 5 6 7 9],[0 1 2 4 5 6 8 9],[0 1 2 4 5 6 8 10],[0 1 2 4 5 7 8 9],[0 1 2 4 5 7 8 10],[0 1 2 4 5 7 9 10],[0 1 2 4 6 7 8 10],[0 1 3 4 5 6 7 9],[0 1 3 4 5 6 8 9],[0 2 3 4 5 6 7 9],[0 1 2 3 4 5 6 7 9],[0 1 2 3 4 5 6 8 9],[0 1 2 3 4 5 6 8 10],[0 1 2 3 4 5 7 8 9],[0 1 2 3 4 5 7 8 10],[0 1 2 3 4 6 7 8 9],[0 1 2 3 4 6 7 8 10],[0 1 2 3 4 6 7 9 10],[0 1 2 3 5 6 7 8 10],[0 1 2 4 5 6 8 9 10],[0 1 2 3 4 5 6 7 8 9],[0 1 2 3 4 5 6 7 8 10],[0 1 2 3 4 5 6 7 9 10],[0 1 2 3 4 5 6 8 9 10],[0 1 2 3 4 5 7 8 9 10],[0 1 2 3 4 5 6 7 8 9 10],[0 1 2 3 4 5 6 7 8 9 10 11]
Op. 4 iv,33.21428571428572,6.428571428571428,0.8035714285714286,1.1607142857142856,0.13392857142857142,0,1.7708333333333335,0.17857142857142855,0,0,0,0,0,0.5357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.17857142857142855,0,0,0,0,0.4166666666666667,0,0.5357142857142857,0,0,0,0,0,0,0,0.20833333333333334,0,0,0,0,0,0,0,0,0.3571428571428571,0,0,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0.7142857142857142,0,0.625,0,0,0.8928571428571428,0,0,0,0,0,0.625,0,0,0.9821428571428571,0,0,0,0.5357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857142,0,0,1.3888888888888888,1.6666666666666667,0,0,0,0,0,0,0,0,0.3571428571428571,0.26785714285714285,0,2.757936507936508,0,0,0.08928571428571427,0,0.17857142857142855,3.824404761904762,0,0,0,0.5357142857142857,0,0,0.7142857142857142,0.3571428571428571,0,0,0,0,0,0,0,0,0.3571428571428571,0,0,0,0,0,0,0,0.17857142857142855,0,0,0,0,0,0,0,0,0,0.5555555555555556,0,0.13392857142857142,0,0,0,0,0,0.5357142857142857,0,0,0,0.5357142857142857,0,0.3571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 4 v,43.416666666666664,2.4166666666666665,0,0,0,1.1666666666666665,0,0,0,0,0.5,0.25,0.41666666666666663,0,0,0,0.5,0,0,0,0,0,0.8333333333333333,0.41666666666666663,0.20833333333333331,0.8333333333333333,0,0,0,1.7916666666666665,0,1.3749999999999998,0.5,0.41666666666666663,0,0.25,0,1.6666666666666665,0.3333333333333333,0,0,0,0.625,0,1.0,0,0.75,0,0,0,0.16666666666666666,0,0,1.25,0,0.375,0.375,1.9583333333333333,0,0,0.20833333333333331,0,0.75,2.0,0.5833333333333333,0,0.625,0,0,0,0,0,0.9166666666666666,1.25,0,0.8333333333333333,0.9583333333333333,0,0.9166666666666666,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.3333333333333333,1.0,0,0,0.25,0,0.75,0,0,1.1666666666666665,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.75,0,0,0,1.0,0,0,0,0.16666666666666666,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0.3333333333333333,0,0,0,0,0.5,1.0,0.8333333333333333,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0.5,0,0,0,0.3333333333333333,0,0,0,0.5833333333333333,0.25,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 5 i,98.19545454545542,20.394318181818164,5.731818181818187,1.7965909090909085,1.4318181818181814,2.572727272727272,1.1965909090909088,1.4318181818181814,0.5965909090909091,1.1318181818181816,8.665909090909093,5.997727272727274,1.3636363636363635,2.3249999999999997,1.534090909090909,3.8181818181818183,0.5113636363636364,0.15,2.3045454545454542,1.8749999999999998,0,1.0227272727272727,0.5113636363636364,1.0227272727272727,0.17045454545454544,0,0,0.17045454545454544,0.6613636363636363,1.520454545454545,0.3,1.0909090909090908,0.9409090909090909,0.15,0,1.0704545454545455,0.17045454545454544,0,0,0.8409090909090908,0.15,0.25,0.5,0,0.9909090909090909,0,1.4318181818181817,0.3409090909090909,0,0,0,0,0,0.15,0,4.486363636363636,0,0,0.15,0.3409090909090909,0,0.15,0.3,1.7318181818181815,0.3,0,0.15,0,0,0,0.09999999999999999,0.25,0.15,0.15,0,0.6818181818181818,0.44999999999999996,0.15,0,0,0,0.15,0,0.5,0,0,0,0,0,1.4727272727272724,0,0,0,0.3,0,0,0.15,0,0,0,0,0,0,0,0.3409090909090909,0.49090909090909085,0,0,0,0,0,0,0.15,0,0,0,0.049999999999999996,0.3409090909090909,1.1727272727272726,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3499999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 5 ii,48.5,13.25,4.25,1.5,1.5,2.0,0.5,1.0,0.5,0.25,0,0,0.5,0,0,0.5,0,0,1.5,0.5,0,0,0,2.5,0,0,0,0,3.25,0.75,0,2.75,1.5,0.25,0.25,0.5,0.5,0,0,0.75,1.5,0,0,0,0.5,0,2.0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1.5,0,1.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 5 iii,44.426050420168224,18.686764705882368,2.4892857142857143,0.44999999999999996,0.9285714285714286,2.4,0,0.8999999999999999,0.8999999999999999,2.214285714285714,2.5785714285714283,0.5678571428571428,2.0928571428571425,0,1.0464285714285715,1.1357142857142857,0,0.15,0.17857142857142858,0.3,0,0.3,0.9821428571428572,0.17857142857142858,0,0.6,0,0,0.35714285714285715,0.8357142857142857,0.6,1.0785714285714285,0.26785714285714285,0,0.08928571428571429,0.08928571428571429,0,0,0.8678571428571429,0.08928571428571429,0.26785714285714285,0.4464285714285714,0.17857142857142858,0,0.08928571428571429,0,0.08928571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 5 iv,34.16666666666667,11.91666666666666,1.75,0.5,0.75,0.5,0.9166666666666665,1.0,0,0,0,1.6666666666666667,4.833333333333334,0,1.1666666666666665,1.0,1.3333333333333333,0,0.5,0,0,0,0.16666666666666666,1.0,0,0,0.8333333333333333,0,0.3333333333333333,0,0,0,0,1.0,0,0,1.0,0,0,0.3333333333333333,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 5 v,153.79166666666666,66.16666666666667,3.875,0.75,2.125,2.0625,2.1875,0.625,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1.5,0,0,2.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.5,2.0,2.25,1.5,2.5,0.5,7.25,0,9.25,0,0,0,2.0,0,5.75,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.0,0,0,2.5,1.25,0,1.25,11.25,1.25,0,0,1.25,0,0,0,0,0,0,3.75,0,0,0,0,0,1.25,0,3.75,1.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 6 i,39.16666666666667,10.666666666666668,1.8333333333333333,0,1.3333333333333333,0.5,0.6666666666666666,0,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0,0.41666666666666663,0.08333333333333333,0,0,0.16666666666666666,0.25,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0,0,0.8333333333333333,0,0.08333333333333333,0.5,0.16666666666666666,0.3333333333333333,0,1.0833333333333333,0.41666666666666663,0.25,0.08333333333333333,0,0.8333333333333333,0,0,0.16666666666666666,0,0,0.41666666666666663,0,0.16666666666666666,0,0,0,0,0.5833333333333334,0.25,0.75,0,0,0.25,0,0.16666666666666666,0,0.5,0,0.3333333333333333,0.5,0.3333333333333333,0,0,0,0.3333333333333333,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.08333333333333333,0,0,0.16666666666666666,0,0,0.25,0.41666666666666663,0,0,0,0.08333333333333333,0,0,0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0,0.5,0.25,0,0.16666666666666666,0.08333333333333333,0.25,0,0.16666666666666666,0.3333333333333333,0.5833333333333333,0,0,0,0.16666666666666666,0,0.3333333333333333,0.41666666666666663,0,0,0,0.16666666666666666,0,0.6666666666666666,0,0.16666666666666666,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0.16666666666666666,0,0.25,0,1.0,0,0,0,0.16666666666666666,0,0.08333333333333333,0,0.16666666666666666,0.25,0.08333333333333333,0,0.3333333333333333,0,0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 6 ii,114.7875,6.9875,8.875,2.025,0.35,0.25,0.19999999999999998,0,13.8125,0.9999999999999999,8.225,0.049999999999999996,0.15,0.19999999999999998,0.39999999999999997,0,0,0.1875,0,0,0,0,0.09999999999999999,0.6875,0.15,1.3125,0,0,0.19999999999999998,0.3,0.5,0.1875,0,0.15,0,0,0.09999999999999999,0,0.5,0.975,0.125,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0.1875,0.1875,0.1875,0.09999999999999999,4.6875,0.375,15.85,0,0.40625,0.1875,0.375,0,0,0.5625,0.6875,0,0,0,1.15,0,0,0.1875,0,0.1875,0,0.1875,0,0,0.1875,0,0,0,0,0,0.1875,0,0,0.5,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0.625,0,0,0,0.75,0,0,0,0,0,2.25,0.1875,0.5625,0,0,0.0625,0,0.625,0,0.375,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.875,0.375,0,0.375,0,0,0,4.125,0,0.375,0,0.5625,0,0,0.15625,0.4375,1.5,0,0,0,1.125,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375,0,2.375,0
Op. 6 iii,97.20000000000012,38.09999999999999,4.5,4.8,7.200000000000001,1.7999999999999998,0,1.7999999999999998,1.7999999999999998,0,0,0,3.5999999999999996,0,0,2.3999999999999995,0,0,0,0,0,0,0,1.7999999999999998,0,0,0,0,5.3999999999999995,0,3.0,0,1.7999999999999998,0,3.5999999999999996,0,0,0,0,0,0,0,0,0,3.5999999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,1.2,0,0,1.7999999999999998,0,0,0,0,7.199999999999999,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 6 iv,114.61956521739116,35.217391304347835,0.6521739130434783,0.6521739130434783,0,0,0,0.6521739130434783,0,0,5.543478260869566,0,0,0,0,0,0,0,0,0,0,1.3043478260869565,0,0.9782608695652174,0,6.8478260869565215,0,0,0,11.086956521739133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.608695652173913,0,0,0,0.32608695652173914,1.9565217391304348,0,6.521739130434784,0.6521739130434783,0.9782608695652174,0,0,0,0,1.6304347826086958,0,0.6521739130434783,0,0,0,0,0,0,0,0,0,3.2608695652173916,0,0,0,0,1.6304347826086958,0,5.217391304347826,0,0,0,0,0,0,0,0,0.6521739130434783,0,0,0,1.6304347826086958,0,1.956521739130435,0,0,0,0,0,0,0,0,0,1.6304347826086958,0,0,1.3043478260869565,0,0,0,0,2.9347826086956523,0,0.6521739130434783,4.565217391304348,0,0,0,1.3043478260869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9565217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9782608695652174,0,0,0,0,0,0,0,0,0,0.16304347826086957,0.32608695652173914,0,0,0,0,0,0,0,0.32608695652173914,0.6521739130434783,0,0.6521739130434783,0.6521739130434783,0,0,0,0,0,0,0,0,3.91304347826087,0,0,0,0
Op. 6 v,194.0,25.75,1.3333333333333333,0.75,1.0,2.0,0,0,0,0,1.0,0.3333333333333333,0,0,0,3.0,0,0,0.5,0.5,0,0,0,2.0,0,1.0,0,0,0,0,2.0,5.0,1.1666666666666665,0,0,0,0,0,0.5,2.5,1.5,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,2.5,1.0,1.5,0.5,0,0,1.5,0,0.5,1.0,0,0,0,0,0,0,2.5,2.0,0,4.0,1.5,2.0,1.5,1.5,0,0,2.0,0,1.5,0.5,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,1.5,0,0,3.0,0,0,0,0,0,0,0,0.5,4.5,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0,13.5,0,0,15.0,0,48.0,3.0
Op. 6 vi,49.666666666666686,12.0,0.41666666666666663,0.3333333333333333,0.3333333333333333,0.75,0.16666666666666666,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.49999999999999994,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0.9999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.75,1.3333333333333333,0,0,3.1666666666666665,0,0,0,0,0,0,0.25,0.3333333333333333,0.6666666666666666,1.8333333333333333,0,0.8333333333333333,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.8333333333333333,0,0,0,0,0.5,0,0,0,2.1666666666666665,0,0,0,0,0,0,1.0,0.5,0,0,0,0,0,0,0,0.16666666666666666,5.0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,1.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 7 i,20.5,5.0,0.25,0.25,0,0.25,0.16666666666666666,0.5,0,0.08333333333333333,0.25,0.25,0.6666666666666667,0,0.16666666666666666,0,0.16666666666666666,0.5833333333333333,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.25,2.166666666666667,0,0.6666666666666666,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0.3333333333333333,2.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 7 ii,55.18750000000004,16.07886904761904,2.105654761904762,1.0476190476190474,0.950892857142857,0.8392857142857142,2.875,0.45982142857142855,0.34226190476190477,0,2.3660714285714284,0.8035714285714286,1.4047619047619044,0.34226190476190477,0.24107142857142858,0.04464285714285714,0,0,0.4375,0.08928571428571427,0,0,0.9672619047619047,0,0,0.5773809523809523,0.4464285714285714,1.2053571428571428,0.13392857142857142,0.6071428571428571,0.3571428571428571,0.17857142857142855,0.6505102040816326,0,0,0,0,0,0.39285714285714285,0,0,0,0.3826530612244898,0,0,0,0.10714285714285715,0,0,0.26785714285714285,0,1.1160714285714284,0,0.4693877551020408,0,0.13392857142857142,0.22959183673469385,0.6607142857142857,0,0.9523809523809523,0,0,0.13392857142857142,0.9630102040816326,0.5931122448979591,0,0,0.8928571428571428,0,1.0119047619047619,0.1530612244897959,0.13392857142857142,0.548469387755102,0.08928571428571427,0.4591836734693877,0.3839285714285714,0,3.482142857142856,0.04464285714285714,0,0,0.08928571428571427,0.17857142857142855,0.22959183673469385,0,0,0,0,0,0,0,0,0.26785714285714285,0,0,0.13392857142857142,0,0,0,0,0,0.26785714285714285,0,0.13392857142857142,0.26785714285714285,0,0,0,0.7142857142857142,0.13392857142857142,0,0,0,0.5357142857142856,0.26785714285714285,0,0,0,0.26785714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26785714285714285,0,0,0,0,0,0.5357142857142857,0,0,0,0,0,0,0,0,0,0,0.13392857142857142,0,0.26785714285714285,0,0.4017857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.26785714285714285,0,0,0,0,0,0.26785714285714285,0,0,0,0,0,0,0.26785714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13392857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Op. 7 iii,22.083333333333314,9.416666666666666,2.1833333333333336,0.45,0.3333333333333333,0.41666666666666663,0.1,0.1,3.9166666666666665,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0,0,0,0.16666666666666666,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
